Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
MaTrIx,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,1,"

Sin duda muchos nos tiramos horas muertas leyendo los cómics de este hombre. Dep ",537,2023-07-15 16:40:00
LKS,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,2,"
Genio ",3,2023-07-15 16:40:00
Regish950,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,3,"
DEP ",0,2023-07-15 16:41:00
bagman,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,4,"
DEP. Su vida da para película... ",0,2023-07-15 16:42:00
Txentx0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,5,"
Hoy es un día triste. Genio y figura. ",0,2023-07-15 16:42:00
Tintintopete,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,6,"
Finde arruinado. DEP y gracias por la infancia estupenda leyendo Mortadelos. ",4,2023-07-15 16:42:00
bLaKnI,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,7,"
Hostia... este si duele. Descansa maestro.  ",0,2023-07-15 16:42:00
SoyelPuchi,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,8,"
Me duele está muerte. 
DEP ",0,2023-07-15 16:43:00
Don_Verde,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,9,"
DEP, una verdadera lástima. Seguramente una de mis mayores influencias durante mi infancia y, probablemente, la de muchos. ",40,2023-07-15 16:43:00
Channie,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,10,"
Se va un grande.
DEP ",0,2023-07-15 16:43:00
Riderfox,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,11,"
Noooooooooooooooooooooooo.
DEP. Mortadelo y Filemon por siempre en el corazon, tengo en mi cuarto facil 100 comics y 10 superhumores de ellos. ",3,2023-07-15 16:43:00
Fudan,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,12,"
Joder, ahí se va el creador de una importante parte de mi infancia. Una infancia sana donde aprendías un rico vocabulario y humor sano, no como ahora que todo es seguir retards en redes sociales y ver quién es más popular haciendo gilipolleces improductivas ",36,2023-07-15 16:43:00
arthas_23,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,13,"
DEP ",0,2023-07-15 16:43:00
D10X,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,14,"
Joder no 
Un tio de puta madre, siempre dándolo todo por sus seguidores, nunca se las dio de creido como el subnormal de Zafon o esos mierdas q se creen dioses por firmar en la feria del libro. ",3,2023-07-15 16:44:00
Loki_Cat12,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,15,"
DEP.
La de veces que habré leído el sulfato atómico. ",14,2023-07-15 16:44:00
xa3ro,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,16,"
 ",1,2023-07-15 16:46:00
Adamassartus,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,17,"
DEP
 ",186,2023-07-15 16:46:00
Darth,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,18,"
Muchos no entenderán lo que es reírse con sus comics cuando eras un niño y cuando eres mayor.
DEP maestro, no hubo nadie más grande que tú. ",0,2023-07-15 16:46:00
Demonlike,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,19,"
DEP
Historia de las viñetas en España. ",0,2023-07-15 16:47:00
DiVerTiMiX,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,20,"
Aquí le honramos en vida concediéndole el premio a mejor película de la historia.
Leyenda. ",82,2023-07-15 16:47:00
Marmoth,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,21,"
Pfffff la de horas que le habré metido leyendo sus obras de enano en el w.c, se ha ido un grande. ",1,2023-07-15 16:48:00
Serol,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,22,"
Creo que este fue el primer comic de Mortadelo y Filemón que tuve. Todavía estará en casa de mis padres, tendré que ir a rescatarlo y volver a leerlo.
 ",12,2023-07-15 16:48:00
Tochomosca,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,23,"
Un grande, RIP. ",0,2023-07-15 16:49:00
MeCagoEnDios,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,24,"
Uf qué penita  ",0,2023-07-15 16:49:00
ReibenN,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,25,"
Un grande. Esos recopilatorios de 5 cómics los devoraba.
Por decir alguno que me acuerde ahora después de hace tantos años, El Rana o Chapeau el esmirriau. ",0,2023-07-15 16:50:00
Darth,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,26,"
#22 yo tenía ese y muchos más pero los di cuando me mudé. Solo guardo el de ""Valor y al toro"". ",1,2023-07-15 16:51:00
Overmell,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,27,"
Hasta la vista maestro ",0,2023-07-15 16:52:00
angelrcd,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,28,"
Grandísimo, DEP ",0,2023-07-15 16:52:00
Beckem88,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,29,"
DEP no sería quién soy si no fueran por sus tebeos ",0,2023-07-15 16:52:00
pixT,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,30,"
DEP ",0,2023-07-15 16:54:00
ChaRliFuM,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,31,"
Buff qué recuerdos de la infancia. Yo creo que del 2000 hacia atrás tenía prácticamente TODOS. Tendré que mirar en casa de mis abuelos a ver...
DEP. ",2,2023-07-15 16:56:00
