Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
Calles,off-topic,680521,rusia-invade-ucrania-hilo-general-,Noticia,20418,"
#20410 Jajajjajajaja por Valencia son fallas...... ",0,2022-02-27 21:33:00
Calles,juegos,534364,realidad-virtual-hg-,PC,9243,"
Uno que se ha comprado también Contractors al leer tanta recomendación y muy satisfecho! Algún discord en español donde organicen partidas? ",0,2022-02-21 18:35:00
Calles,juegos,534364,realidad-virtual-hg-,PC,9250,"
#9247 Puedes compartir link o algo? Gracias! ",0,2022-02-23 19:47:00
Calles,off-topic,656229,coronachat-ii-filarmonica-edition-,None,20526,"
En Valencia ya tenemos toque de queda, desde las 00:00 hasta las 6:00 no se puede salir.
En mi opinión poco va a aportar para lo que va a encabronar a la sociedad. O cortas toda interacción o simplemente la gente adelantará horarios y arreando, en vez de salir de tardeo pues a comer y luego copas. ",0,2020-10-25 09:23:00
Calles,juegos,506260,juegos-indie-de-gestion-hg-,Hilo general,3493,"
#3491 Nadie sabe de ningún digno sucesor? (no me valen Patrician IV ni Port Royale....) ",0,2019-12-07 20:19:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,11934,"
En verano, junto a un pantalón corto, camisa manga corta o camisa manga larga (remangada)?
Busco opiniones y conocer gustos

 ",0,2016-05-08 22:41:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,14378,"
Busco opinión de estos zapatos, ¿alguna recomendación/combinación?
https://gyazo.com/131c00f993dc536dcdd074a689506112 ",0,2016-11-13 13:46:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,17330,"
Camisa siempre manga larga, polo siempre manga corta.
Yo por lo menos soy muy nazi en eso. ",0,2018-05-07 21:56:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,18327,"
Alguna recomendación de colonias decentes? ",0,2019-12-02 21:12:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,18329,"
#18328 25 años, el objetivo era tener 2, y así poder alternarlas cuando sea (trabajo de ofincina-camisa y salir de fiesta).
Se me está acabando la de Emporio Armani Code, muy contento y era por buscar alguna más.
Gracias ",0,2019-12-03 19:02:00
Calles,off-topic,511967,el-hilo-oficial-de-la-moda-,Clásico,18333,"
#18330 Tampoco volverse loco, pero no hay nada definido ",0,2019-12-04 20:19:00
Calles,wow,639580,mandokir-cata-edition-,None,3185,"
#3184 Cuales eran? las arenas? ",0,2019-10-13 21:26:00
Calles,wow,636542,world-of-warcraft-cata-classic-,PvE,15386,"
#15376 #15361 ",0,2019-09-27 21:11:00
Calles,off-topic,573862,the-world-of-tinder-ii-ahora-cinta-metrica-,Sexo,20363,"
#20362 y lo que te puedes ahorrar en recambios, 2x1 en pastillas de freno, en los dados que se cuelgan del retrovisor.... ",0,2018-03-02 18:40:00
Calles,off-topic,573862,the-world-of-tinder-ii-ahora-cinta-metrica-,Sexo,31123,"
#31122 Y eres un maldito galgo..... ",0,2018-11-02 19:30:00
Calles,off-topic,573862,the-world-of-tinder-ii-ahora-cinta-metrica-,Sexo,46856,"
#46855 Viendo el percal? ",0,2019-09-11 18:38:00
Calles,fitness,617951,diario-superacion-fisica-maiki-,Diarios,331,"
Ya se van notando los gains del gimnasio? ",1,2018-10-06 21:31:00
